propertyid,city,state,zipcode,address,bedrooms,bathrooms,squarefeet,pricing,yearbuilt,description,listingdate,status,type
87623441,Challis,Idaho,83226,8109 Renee Crossroad Suite 965,4,3,1823,1617931.37,2019,Perfect for first-time buyers or investors.,2024-04-26,Off Market,townhouses
22759467,Saint Louis,Missouri,63127,0692 Chris Well,5,2,4514,3315748.79,1964,Perfect for first-time buyers or investors.,2024-02-03,Pending,single houses
98383107,Lubbock,Texas,79430,28985 Spencer Stream,4,3,2857,613700.54,1926,A beautiful home with stunning views.,2024-04-06,Off Market,apartments
54113232,Bedford,Texas,76022,6500 Spears Way Suite 199,2,3,790,601140.74,1938,Spacious property with a large backyard.,2024-05-25,Off Market,condominiums
77072907,Toledo,Ohio,43666,81089 Rickey Junctions,3,3,3187,1878261.83,1985,Perfect for first-time buyers or investors.,2023-12-26,Off Market,villas
88551880,Kingman,Indiana,47952,0759 Victoria Canyon Suite 495,4,2,4762,3667740.56,1988,Close to schools and shopping centers.,2023-10-27,Sold,condominiums
93164833,Mattawa,Washington,99349,1822 Robert Mount,1,1,2569,1156326.0,1905,"Located in a quiet neighborhood, this property offers great potential.",2024-08-02,Off Market,apartments
93002318,Ralph,South Dakota,57650,10665 Daniels Throughway Apt. 422,1,3,2566,1591606.94,1927,Close to schools and shopping centers.,2024-03-06,Under Contract,townhouses
11360794,Conway,New Hampshire,3818,40679 Theresa Islands,5,3,4517,1781719.65,2007,Close to schools and shopping centers.,2024-05-19,Pending,condominiums
25796487,South Webster,Ohio,45682,0894 Stark Turnpike Apt. 836,3,2,4497,2710452.77,1929,Perfect for first-time buyers or investors.,2023-08-23,Sold,single houses
51540116,Sextonville,Wisconsin,53584,0392 Rhonda Ferry,4,2,2087,638594.81,1920,Close to schools and shopping centers.,2024-05-06,Sold,apartments
64381349,Dayton,Virginia,22821,771 Seth Road,1,3,1221,4256017.07,1945,"Located in a quiet neighborhood, this property offers great potential.",2024-06-27,Off Market,condominiums
56252015,Troy,Michigan,48099,659 Rogers Street,1,3,1577,3652178.74,1956,Spacious property with a large backyard.,2024-06-20,Under Contract,villas
20653803,APO AE,,9815,32392 Thomas Locks Apt. 173,2,2,1053,4234341.07,1912,A beautiful home with stunning views.,2024-02-22,Sold,apartments
92248842,Ocala,Florida,34474,672 Brittany Landing Apt. 118,4,2,2871,976307.1,1906,Recently renovated with modern finishes.,2023-12-05,Sold,apartments
18367045,APO AE,,9766,2740 Brandy Mall Suite 251,3,3,887,4524663.84,1933,Perfect for first-time buyers or investors.,2023-12-25,Under Contract,single houses
76425808,Enfield,New Hampshire,3748,4278 Thomas Light Apt. 993,2,3,3327,4559018.65,1986,Recently renovated with modern finishes.,2024-07-13,Under Contract,condominiums
16631373,Connerville,Oklahoma,74836,6773 Luna View,1,2,714,775499.11,1919,A beautiful home with stunning views.,2024-03-14,Pending,townhouses
61891439,Dayton,Maryland,21036,678 Vanessa Row,5,2,1992,3070474.29,1930,A beautiful home with stunning views.,2024-02-29,Off Market,condominiums
24825927,Phoenix,Maryland,21131,87197 Thomas Way Apt. 921,5,3,1795,520722.91,1906,Spacious property with a large backyard.,2023-09-28,For Sale,townhouses
36685864,Webberville,Michigan,48892,630 Cristina Trafficway Apt. 323,5,2,2989,4939512.54,1995,A beautiful home with stunning views.,2024-06-02,Off Market,apartments
31210265,Darien,Georgia,31305,36280 Graham Roads Apt. 856,4,3,3146,4502461.46,1987,"Located in a quiet neighborhood, this property offers great potential.",2024-01-02,Off Market,townhouses
26576810,Buckatunna,Mississippi,39322,6560 Steele Grove Suite 106,1,1,1764,1105467.26,1987,Close to schools and shopping centers.,2023-10-26,Sold,townhouses
23197340,Griffin,Georgia,30224,3123 Brandon Trace,1,2,4617,2717722.3,1993,Close to schools and shopping centers.,2023-12-13,Under Contract,single houses
86137889,South Dartmouth,Massachusetts,2748,86182 Jessica Corner,4,3,4150,3222276.3,2007,Perfect for first-time buyers or investors.,2024-03-10,Pending,townhouses
47915047,White Oak,Texas,75693,57472 Michael Corners Suite 041,1,3,4779,3444415.68,1942,A beautiful home with stunning views.,2024-02-23,Sold,condominiums
73983277,Bass Lake,California,93604,06538 Joyce Gardens Apt. 225,4,1,4370,1359204.9,1981,Close to schools and shopping centers.,2024-06-21,For Sale,single houses
85399659,Sutton,Nebraska,68979,68287 Lawrence Islands,4,1,922,3272587.89,1964,Perfect for first-time buyers or investors.,2023-11-10,Off Market,townhouses
53855728,Dubois,Indiana,47527,73606 Kim Mountain,1,2,3520,3906219.46,1984,Recently renovated with modern finishes.,2024-01-22,Sold,condominiums
24157100,Doylestown,Pennsylvania,18901,594 Hanson Rapids,1,2,2052,2001767.73,1943,Spacious property with a large backyard.,2024-06-25,Under Contract,condominiums
13131889,Westbrook,Connecticut,6498,12065 Hernandez Hollow,4,1,3982,459571.88,1911,"Located in a quiet neighborhood, this property offers great potential.",2024-02-05,Pending,villas
89714638,Washington,District of Columbia,20230,974 Lisa Circle Suite 871,3,1,2037,2474382.99,1958,A beautiful home with stunning views.,2024-05-10,Under Contract,condominiums
46342850,Royalton,Illinois,62983,0001 Christopher Brooks Suite 642,1,3,3996,4538243.77,1922,A beautiful home with stunning views.,2023-11-29,Under Contract,villas
31796173,Palm Springs,California,92264,17841 Julie Divide,2,2,2206,1928167.18,1918,"Located in a quiet neighborhood, this property offers great potential.",2023-10-04,Under Contract,single houses
49193146,Exchange,West Virginia,26619,09744 Douglas Points,1,3,790,2955013.21,1916,Perfect for first-time buyers or investors.,2023-12-01,Sold,single houses
98099092,Wellsville,Missouri,63384,528 Jodi View,1,1,2872,1950218.88,1994,Recently renovated with modern finishes.,2023-09-03,Pending,single houses
58573621,Richmond,California,94805,062 Henry Dam,3,3,4238,3602877.74,1963,"Located in a quiet neighborhood, this property offers great potential.",2024-05-15,Sold,apartments
40749229,Berwick,Pennsylvania,18603,95471 Woodard Gardens,3,2,2608,664893.95,2022,A beautiful home with stunning views.,2023-11-22,Off Market,townhouses
57412003,Sebastopol,Mississippi,39359,6907 Jonathan Falls Apt. 846,1,1,3075,4433293.23,1935,"Located in a quiet neighborhood, this property offers great potential.",2024-01-01,For Sale,condominiums
43423930,Edinburg,Texas,78541,765 Castillo Heights Apt. 586,4,1,3036,1984639.76,2000,Recently renovated with modern finishes.,2024-07-07,Sold,condominiums
52569810,Hayward,California,94543,9980 Becker Square,4,1,3606,2208510.19,1970,A beautiful home with stunning views.,2024-01-27,Off Market,single houses
73416542,Moran,Kansas,66755,1653 Allen Tunnel,2,3,1546,3556007.16,1950,Recently renovated with modern finishes.,2023-09-24,Sold,townhouses
36324139,Cincinnati,Ohio,45236,89887 Warren Drive Apt. 302,5,1,515,1999033.75,2001,Perfect for first-time buyers or investors.,2024-03-08,For Sale,apartments
23680103,Wallagrass,Maine,4781,303 Katherine Park,5,2,4545,1943981.18,1988,Spacious property with a large backyard.,2023-10-08,For Sale,villas
24052140,Staunton,Indiana,47881,484 Henderson Shoal Suite 575,2,3,2963,346948.91,1948,Recently renovated with modern finishes.,2024-04-16,Under Contract,villas
